# Original 1999 Pokemon Base Set catalog (102/102).
# number,name,set,near_mint_market_value,rarity,image_url,hp,type
1,Alakazam,Base Set,71.88,Rare Holo,https://images.pokemontcg.io/base1/1.png,80,Psychic
2,Blastoise,Base Set,224.86,Rare Holo,https://images.pokemontcg.io/base1/2.png,100,Water
3,Chansey,Base Set,65.45,Rare Holo,https://images.pokemontcg.io/base1/3.png,120,Colorless
4,Charizard,Base Set,800.43,Rare Holo,https://images.pokemontcg.io/base1/4.png,120,Fire
5,Clefairy,Base Set,41.98,Rare Holo,https://images.pokemontcg.io/base1/5.png,40,Colorless
6,Gyarados,Base Set,50.13,Rare Holo,https://images.pokemontcg.io/base1/6.png,100,Water
7,Hitmonchan,Base Set,22.82,Rare Holo,https://images.pokemontcg.io/base1/7.png,70,Fighting
8,Machamp,Base Set,46.07,Rare Holo,https://images.pokemontcg.io/base1/8.png,100,Fighting
9,Magneton,Base Set,36.45,Rare Holo,https://images.pokemontcg.io/base1/9.png,60,Lightning
10,Mewtwo,Base Set,78.56,Rare Holo,https://images.pokemontcg.io/base1/10.png,60,Psychic
11,Nidoking,Base Set,38.90,Rare Holo,https://images.pokemontcg.io/base1/11.png,90,Grass
12,Ninetales,Base Set,35.90,Rare Holo,https://images.pokemontcg.io/base1/12.png,80,Fire
13,Poliwrath,Base Set,37.91,Rare Holo,https://images.pokemontcg.io/base1/13.png,90,Water
14,Raichu,Base Set,71.07,Rare Holo,https://images.pokemontcg.io/base1/14.png,80,Lightning
15,Venusaur,Base Set,168.81,Rare Holo,https://images.pokemontcg.io/base1/15.png,100,Grass
16,Zapdos,Base Set,53.63,Rare Holo,https://images.pokemontcg.io/base1/16.png,90,Lightning
17,Beedrill,Base Set,6.18,Rare,https://images.pokemontcg.io/base1/17.png,80,Grass
18,Dragonair,Base Set,17.94,Rare,https://images.pokemontcg.io/base1/18.png,80,Colorless
19,Dugtrio,Base Set,12.08,Rare,https://images.pokemontcg.io/base1/19.png,70,Fighting
20,Electabuzz,Base Set,10.78,Rare,https://images.pokemontcg.io/base1/20.png,70,Lightning
21,Electrode,Base Set,8.88,Rare,https://images.pokemontcg.io/base1/21.png,80,Lightning
22,Pidgeotto,Base Set,11.76,Rare,https://images.pokemontcg.io/base1/22.png,60,Colorless
23,Arcanine,Base Set,4.20,Uncommon,https://images.pokemontcg.io/base1/23.png,100,Fire
